0,1,2,3,4,5
8.0,7.0,1166.9,53.746,2.0,0.69723
5.0,6.0,1335.4,55.044,3.6393,0.62161
-0.0,0.0,1199.8,49.566,2.0335,0.70683
2.0,3.0,1291.4,42.195,2.1347,0.81795
8.0,6.0,1195.0,38.261,2.3386,0.71685
3.0,2.0,1466.0,44.651,2.1757,0.58684
1.0,1.0,1259.1,51.857,2.0153,0.57032
-0.0,1.0,1262.4,43.252,2.0032,0.72338
0.0,2.0,1246.6,35.949,2.0,0.72985
1.0,0.0,1341.4,57.006,2.4211,0.65727
4.0,7.0,1294.5,47.936,2.0,0.65575
3.0,3.0,1261.3,47.52,2.0069,0.6991
2.0,0.0,1146.8,52.415,2.0,0.73929
-0.0,1.0,1229.0,55.491,2.1387,0.60828
8.0,6.0,1229.2,46.598,2.0,0.61636
1.0,2.0,1181.8,43.57,2.0,0.76199
0.0,2.0,1211.0,38.384,2.0,0.74488
-0.0,0.0,1509.9,56.704,4.3946,0.53809
7.0,4.0,1230.4,45.387,2.0,0.64995
9.0,8.0,1241.2,39.173,2.1839,0.72218
1.0,0.0,1245.1,38.979,2.4133,0.7279
1.0,0.0,1961.1,54.04,3.3031,0.5995
4.0,3.0,1200.1,45.698,2.0,0.6015
9.0,10.0,1197.1,46.774,2.0444,0.83055
3.0,3.0,1215.8,43.178,2.1293,0.72422
6.0,3.0,1491.3,40.884,2.5822,0.58205
1.0,-0.0,1172.4,36.898,2.1286,0.71252
0.0,1.0,1212.2,44.197,2.0,0.66261
2.0,1.0,1170.3,42.993,2.0,0.68329
10.0,10.0,1483.7,54.192,2.2064,0.59709
0.0,0.0,1140.0,33.672,2.0,0.65367
-0.0,-0.0,1763.7,49.118,2.572,0.65399
7.0,7.0,1178.5,51.26,2.0,0.79875
4.0,3.0,1482.8,49.836,2.1022,0.59871
-0.0,0.0,1475.8,53.405,2.0,0.64983
0.0,-0.0,1380.2,51.016,2.0,0.66577
9.0,9.0,1172.1,45.928,2.0634,0.67957
0.0,4.0,1307.7,43.859,2.0975,0.588
0.0,-0.0,1132.2,46.563,2.0,0.66072
-0.0,0.0,1552.9,44.901,2.6047,0.68876
0.0,0.0,1273.6,48.501,2.2471,0.71271
2.0,2.0,1572.1,36.447,2.0584,0.60654
8.0,6.0,1234.0,39.811,2.1413,0.70238
5.0,7.0,1197.7,33.252,2.0281,0.80781
1.0,0.0,1185.2,39.676,2.1414,0.65966
2.0,1.0,1328.0,50.309,2.0,0.56517
9.0,8.0,1248.6,41.055,2.4049,0.68469
4.0,1.0,1224.7,50.399,2.4294,0.71026
1.0,1.0,1244.5,47.873,2.1208,0.7565
0.0,0.0,1259.0,41.979,2.329,0.63375
3.0,4.0,1254.990933432312,67.26684761267639,2.9619648520131507,0.6700646524901742
1.0,1.0,1988.671386564623,55.49403224543009,4.33936894788136,0.6306917059804532
1.0,0.0,1277.2418256249616,48.98049833534299,2.0,0.7927290247866965
7.0,4.0,1272.7316112892881,67.33508527373148,3.9189602217046504,0.8001922796800821
10.0,7.0,1359.97527408769,75.68254676350821,4.527926892849502,0.6920588865317007
0.0,3.0,1245.6922498271792,45.87792673201833,2.40873968770879,0.7064468283936196
10.0,6.0,1443.278888109641,80.0,4.626618834833031,0.6693666816740446
1.0,1.0,1215.191476466754,52.09842005235248,2.3747068332129913,0.7011535056072652
10.0,6.0,1336.7779369494858,80.0,4.230565528818597,0.7861018882791094
0.0,-0.0,2031.856385644217,46.766225534747186,3.536570220460356,0.6911018787942421
6.0,6.0,1344.7680629063586,65.82544290915385,3.9928073090850607,0.7414169544590246
8.0,10.0,1475.245473902104,73.70726362723117,4.7195616988551325,0.7303815366323849
8.0,9.0,1427.3627154391538,70.0473296152087,4.415973760057575,0.7583663192230586
0.0,0.0,1189.2923943798028,51.30705694769452,2.0,0.710253536027126
3.0,4.0,1254.9321599960488,54.32779511410567,3.0376159759555987,0.7193412498251627
1.0,1.0,2006.567179155578,44.52358597969682,3.8503619777822693,0.5420137402563133
0.0,0.0,1255.4851749265445,49.870215862916645,2.0,0.5617265182861946
8.0,8.0,1405.340826991409,63.108885875794925,4.3875271504746856,0.7744827920972186
1.0,2.0,1221.7428892426137,44.797834024948784,2.037815590652643,0.6025112878624858
2.0,4.0,1990.8009460109063,60.014976103442166,4.939291815062884,0.6580764015536607
0.0,1.0,1926.770668956102,41.33102778836296,3.1765091242361327,0.5952605135574723
0.0,0.0,1166.586917946412,43.54682474948612,2.04607153480861,0.6938849283400709
1.0,0.0,1335.2684704652293,48.61023500119031,2.201582844449568,0.5602474299591842
0.0,0.0,1217.5901114929868,51.85694383375,2.0,0.8259366153095914
9.0,6.0,1429.3151270307203,69.7901968955727,4.549346025796661,0.6630843171266461
1.0,0.0,1230.8967091718841,44.607693393091715,2.0757626501917303,0.68004136488157
10.0,9.0,1866.2288656803512,75.44985106270245,6.5,0.649700757358062
6.0,6.0,1304.6950984835341,74.82494919341104,3.747748806684743,0.8090213535596368
0.0,0.0,1239.5574781751147,49.063481038959,2.133557603308299,0.7957206649559632
0.0,-0.0,1671.962177006457,48.87902599803372,2.531737519007985,0.6555878610374307
0.0,0.0,1230.865297302982,49.012709222967814,2.0457014813620624,0.6153257941425965
9.0,7.0,1879.767125316288,80.0,4.712432220394009,0.579131283288655
-0.0,-0.0,1194.9700810098261,35.413987306500275,2.0,0.6580226816781791
0.0,-0.0,1207.2842849122155,37.90634677708012,2.0,0.7333337363278744
10.0,5.0,1367.938838861193,73.21906367925716,4.364222659979134,0.6810459298483046
0.0,-0.0,1197.2271854953985,50.33503599728315,2.0,0.614861974083142
7.0,5.0,1473.8877511176713,80.0,5.305624722349105,0.744516187161841
0.0,2.0,1189.418453405382,47.1033430422402,2.2590707086890207,0.7993044324322385
1.0,1.0,1262.5752059734998,46.47492633457175,2.4427236466687883,0.7476591064282333
9.0,9.0,1733.5806135257537,80.0,6.5,0.5881648760633734
0.0,1.0,1256.6865462237492,45.18657037280865,2.0,0.6964662212260486
10.0,10.0,1750.16032680691,80.0,6.5,0.6557588207062801
0.0,0.0,1211.9236052046365,42.17589008950295,2.371781489742661,0.8756103838756836
0.0,1.0,1200.9914440151144,58.91528320757796,2.0,0.7558746022988978
6.0,2.0,1306.995992874012,49.50990020354573,3.440081577982055,0.730624416831296
9.0,10.0,2199.5099077305285,74.62108436730054,5.976437032600661,0.6072798137941687
10.0,10.0,2115.863719031748,74.43745354640248,6.5,0.6499141214071039
0.0,-0.0,1326.394384375525,48.72864712016169,2.2341383914954944,0.552652365123662
10.0,8.0,1652.4309397685702,78.08797989185112,5.018935734556336,0.7796082096300474
0.0,-0.0,1287.0665595608175,37.878327736397424,2.0,0.6670090947842467
0.0,1.0,1190.8122967295456,51.42008206625103,2.270195649835568,0.5787115315187934
-0.0,0.0,1185.5042395669107,45.91790749643207,2.065593531990405,0.6128401504053125
0.0,3.0,1250.2401997779666,49.650848098069446,2.6113165382970425,0.6494875905594937
5.0,2.0,1275.089765027422,60.14756234438155,3.2028953153041257,0.8020572656568492
0.0,1.0,1207.3299013879691,52.43926014967451,2.0235530415536487,0.5759538422812032
9.0,5.0,1381.2115385328727,73.39415797382603,4.285689376203698,0.8609975072383669
9.0,8.0,1500.9847094229112,80.0,5.759988066096005,0.5431796314892074
5.0,4.0,1858.110461812627,73.30130656982917,4.0106245276148655,0.7101341048344036
10.0,7.0,1448.4686423721705,80.0,5.163098878152254,0.6603924180423674
1.0,0.0,2093.9192798182653,56.848135521250285,3.672462841742579,0.7286543699066821
2.0,6.0,1346.034067053639,64.3568326398995,3.343551228399938,0.6666039777795304
6.0,4.0,1506.4667076716507,69.07439071269465,4.717279860949155,0.597129778282722
4.0,3.0,1675.1117668514892,49.33031081062353,3.2636781676757907,0.6416565652212489
0.0,0.0,1165.8172077262252,30.0,2.0,0.5488601441167972
10.0,10.0,1477.2203770087326,80.0,5.1220396877492975,0.6652679096759384
2.0,0.0,1209.7154211077611,49.67313824994069,2.3730387742854253,0.6340139429987582
8.0,7.0,1404.0148774210015,65.78921540537051,4.263302435825115,0.7262995763747204
8.0,8.0,1519.224194824538,76.54506677405544,4.66953494557595,0.7132783141902052
3.0,2.0,1300.4643412996131,50.958373853044186,2.6693678592111287,0.6578581897918964
8.0,7.0,1382.700185000575,69.81961174399996,4.488342680486673,0.6053867684395691
0.0,0.0,1177.5515090408405,43.80502850693677,2.4107901481598284,0.7329212827805965
0.0,0.0,1172.5590683375412,56.34993916366042,2.0,0.5602544525314578
9.0,5.0,2189.9758466385947,76.00518827621036,6.2722663741114015,0.6836902821610101
8.0,5.0,1343.3097486607899,70.84116658388511,3.987630436975167,0.7718301824311464
5.0,0.0,1568.0639893882058,69.0776084889893,3.961250646175416,0.7160393828772584
6.0,4.0,1338.3922316444307,76.22648153216,3.6780936576444563,0.7226229373537711
9.0,8.0,2146.0783703598286,80.0,6.212280322712841,0.8337479664254488
7.0,6.0,1360.4529458257537,58.55717065355323,3.7175532362520407,0.7887387017268773
8.0,7.0,1370.2062822219052,80.0,4.113522781589745,0.6235569196904003
2.0,0.0,1335.2104615544795,52.15341316893119,2.3125818545146024,0.680896316989454
2.0,1.0,1291.9286267358993,48.12192177334476,2.555171839516254,0.6599826002494509
9.0,10.0,1868.0334462585215,79.83556661083149,4.9920724249470165,0.6604761108258531
10.0,10.0,1474.1364376665517,80.0,4.608714435160154,0.6304143310997719
