0,1,2,3,4,5
8.0,7.0,1166.9,53.746,2.0,0.69723
5.0,6.0,1335.4,55.044,3.6393,0.62161
-0.0,0.0,1199.8,49.566,2.0335,0.70683
2.0,3.0,1291.4,42.195,2.1347,0.81795
8.0,6.0,1195.0,38.261,2.3386,0.71685
3.0,2.0,1466.0,44.651,2.1757,0.58684
1.0,1.0,1259.1,51.857,2.0153,0.57032
-0.0,1.0,1262.4,43.252,2.0032,0.72338
0.0,2.0,1246.6,35.949,2.0,0.72985
1.0,0.0,1341.4,57.006,2.4211,0.65727
4.0,7.0,1294.5,47.936,2.0,0.65575
3.0,3.0,1261.3,47.52,2.0069,0.6991
2.0,0.0,1146.8,52.415,2.0,0.73929
-0.0,1.0,1229.0,55.491,2.1387,0.60828
8.0,6.0,1229.2,46.598,2.0,0.61636
1.0,2.0,1181.8,43.57,2.0,0.76199
0.0,2.0,1211.0,38.384,2.0,0.74488
-0.0,0.0,1509.9,56.704,4.3946,0.53809
7.0,4.0,1230.4,45.387,2.0,0.64995
9.0,8.0,1241.2,39.173,2.1839,0.72218
1.0,0.0,1245.1,38.979,2.4133,0.7279
1.0,0.0,1961.1,54.04,3.3031,0.5995
4.0,3.0,1200.1,45.698,2.0,0.6015
9.0,10.0,1197.1,46.774,2.0444,0.83055
3.0,3.0,1215.8,43.178,2.1293,0.72422
6.0,3.0,1491.3,40.884,2.5822,0.58205
1.0,-0.0,1172.4,36.898,2.1286,0.71252
0.0,1.0,1212.2,44.197,2.0,0.66261
2.0,1.0,1170.3,42.993,2.0,0.68329
10.0,10.0,1483.7,54.192,2.2064,0.59709
0.0,0.0,1140.0,33.672,2.0,0.65367
-0.0,-0.0,1763.7,49.118,2.572,0.65399
7.0,7.0,1178.5,51.26,2.0,0.79875
4.0,3.0,1482.8,49.836,2.1022,0.59871
-0.0,0.0,1475.8,53.405,2.0,0.64983
0.0,-0.0,1380.2,51.016,2.0,0.66577
9.0,9.0,1172.1,45.928,2.0634,0.67957
0.0,4.0,1307.7,43.859,2.0975,0.588
0.0,-0.0,1132.2,46.563,2.0,0.66072
-0.0,0.0,1552.9,44.901,2.6047,0.68876
0.0,0.0,1273.6,48.501,2.2471,0.71271
2.0,2.0,1572.1,36.447,2.0584,0.60654
8.0,6.0,1234.0,39.811,2.1413,0.70238
5.0,7.0,1197.7,33.252,2.0281,0.80781
1.0,0.0,1185.2,39.676,2.1414,0.65966
2.0,1.0,1328.0,50.309,2.0,0.56517
9.0,8.0,1248.6,41.055,2.4049,0.68469
4.0,1.0,1224.7,50.399,2.4294,0.71026
1.0,1.0,1244.5,47.873,2.1208,0.7565
0.0,0.0,1259.0,41.979,2.329,0.63375
7.0,3.0,1269.7238842816473,51.34224337971173,3.9404373111299598,0.5786391302593696
0.0,1.0,1986.09597858797,40.330866440733224,4.113738633302831,0.5772499782424164
2.0,1.0,2067.1340781134227,56.68477100356044,3.8531652408879107,0.6896763595212491
0.0,1.0,1685.526161257617,48.07272331481013,4.3234723972751645,0.6321562963660964
8.0,5.0,1372.5238466344788,60.98176544107197,4.1981078670648415,0.7465882548607776
0.0,0.0,1175.8922658156093,50.95860578086169,2.215617127850315,0.7399233743487594
0.0,1.0,1196.5430786704246,43.81921687140224,2.019676886829094,0.6425942059474921
5.0,5.0,1345.1025714859932,65.8853658912661,3.4136892536818877,0.6976022981487422
2.0,1.0,1263.001229851185,58.982349019298,2.4450055479337824,0.656886220087731
0.0,0.0,1241.4565979027354,44.046952447792165,2.0,0.611860467578268
1.0,1.0,2002.8563344845822,58.63705099889254,3.547284311471186,0.6337678975388342
1.0,3.0,1262.7434445482183,48.24357686068509,2.4723262381071462,0.6729712804282691
0.0,4.0,1256.547255716745,57.39288857433056,2.4786653449382405,0.7281505344695385
0.0,0.0,1223.1423769208066,48.80704100779578,2.0,0.6982555712827996
0.0,2.0,1398.770593818358,57.15205485939728,2.4629469076055552,0.6726299878024782
5.0,2.0,1294.5189245088816,47.01092978466065,3.5695074966960676,0.705287165380796
6.0,7.0,1378.4558775527591,74.97804894404489,3.5380587147223523,0.713609578423142
6.0,2.0,1282.18479276872,56.17464606445386,3.3105607446768834,0.7591621718228113
2.0,3.0,1296.7636175258067,49.35773854987808,2.7564749075226267,0.7559533524590707
1.0,1.0,1229.8447339667475,52.18935809760943,2.182987228043161,0.6614229255640278
5.0,3.0,1301.5929542469476,52.8266256195768,3.3971623104202977,0.7152118422691384
1.0,0.0,1213.2102929621087,49.76819651296616,2.1921669763066993,0.7353265341680153
7.0,5.0,1365.9323602758825,70.10448017553094,3.9914103314390648,0.6890879738207897
0.0,0.0,1470.7133270081783,41.87616339797082,2.552635402807472,0.6638629988719539
4.0,2.0,1834.6390577434981,55.647061598308476,5.17869849522276,0.6792159739965892
2.0,2.0,1606.208094134938,52.39160124602939,3.0017770897055778,0.7824765808402758
7.0,8.0,1901.7897276619328,72.4412136717486,6.5,0.667175127256938
7.0,4.0,1348.4012825467275,56.40234010603487,3.4901955624326324,0.6781065219657814
0.0,1.0,1239.1070153630437,45.95081563188547,2.0,0.700831864575798
3.0,1.0,1271.6243034110166,44.18701002049013,2.708755056261507,0.6809450542596526
5.0,5.0,1907.3158384025899,65.95861599112087,4.552502539989681,0.6365055197903337
1.0,0.0,1181.172540037164,44.21375759040886,2.4059686206139874,0.7106418483170104
8.0,5.0,1390.9607981756333,69.107091611445,3.9132581780824642,0.8151611756264949
0.0,2.0,1371.980660026163,53.462484591946634,2.35618878403816,0.5089988750487509
2.0,0.0,1229.5452104232004,61.2604078308042,2.337284894291,0.651900315182852
0.0,0.0,1231.493918364765,50.92252972713361,2.0458038412906556,0.6560281282939006
5.0,7.0,1946.934637629855,58.440106065203786,6.358224721560413,0.6354343883618608
8.0,6.0,1387.629834985721,67.89856440170124,4.2125963463020275,0.6627554140115153
0.0,1.0,1246.6991299309987,52.46673752040216,2.007391582520999,0.7758659588104445
0.0,0.0,1186.757888915854,43.45920526765942,2.2533675851726644,0.8098359865126256
1.0,1.0,1204.2018920555488,48.32203199267011,2.4895666977306536,0.6895198491159285
1.0,1.0,1221.773433933314,42.04478821041122,2.3057021958981214,0.6296691671843139
9.0,5.0,1355.3105435161383,69.47041458219259,4.221746547378295,0.757768037358686
1.0,1.0,1149.718616422966,43.67564239304719,2.5409321571489403,0.7134962649871146
8.0,10.0,1957.560579012257,80.0,6.5,0.6626340190741217
3.0,3.0,1814.3874365357626,62.39744696023163,4.60465151396617,0.6792631791563521
4.0,3.0,1458.9236116680804,58.91454807742175,3.2723671128385012,0.6774911954717494
8.0,5.0,1315.1410144115198,76.72870525956058,3.7794970612863485,0.6570559272633216
4.0,2.0,1254.7892954198671,54.29714739347876,2.764047321274371,0.7566346042256259
10.0,8.0,1444.555355182863,73.91835852903324,5.252598701181517,0.6608175228766182
8.0,10.0,1840.4751917285253,80.0,6.5,0.5519046351649954
5.0,5.0,1314.793459961964,62.843253620291826,3.54556173494059,0.6960130842711737
3.0,1.0,1207.6719062477414,53.801917409695534,2.522947649210983,0.8300661155142558
0.0,0.0,1169.7798741920776,50.707394545842654,2.169209455569077,0.6474650256228963
10.0,9.0,1376.0944445524694,67.88724059801899,4.973879511153521,0.694504110146103
2.0,1.0,1263.4409235425742,47.65127667619382,2.4394321660932725,0.656349243557321
7.0,4.0,1426.1088119641095,65.23141420419921,3.675178185534769,0.5898790622191631
2.0,0.0,1250.8519647783678,43.757808401419105,2.5057769671125865,0.48575783730229305
7.0,3.0,1302.4218597661154,72.81232356455004,3.403425778569235,0.7808493067262359
4.0,2.0,1263.7270608600359,59.46605498882834,2.912607621637146,0.7253111998286266
1.0,0.0,1195.2735575915533,49.996814062307195,2.0,0.6882781992261341
10.0,7.0,1454.0684635653108,75.59264374909645,4.851460898746082,0.7137392972192159
0.0,2.0,1230.697551541222,40.672115629154796,2.5808829377428237,0.5988834450337778
0.0,0.0,1765.5245124664705,50.45489540002421,3.2774237761154845,0.6379917758123611
2.0,1.0,1236.675022453063,65.10746928065574,2.631865161114321,0.7572782122487965
10.0,10.0,2098.5226262924007,80.0,6.5,0.7147839778887507
1.0,0.0,1328.769844179759,48.06429771074639,2.050233105581217,0.6472090411167813
10.0,8.0,1360.51700704616,80.0,5.157272040100655,0.7313058509429828
1.0,0.0,1248.6669783727375,44.24737938159045,2.2159264192351205,0.7126111334935997
9.0,8.0,1424.3199453013258,70.537221590088,4.602287494725462,0.6681586431802206
0.0,0.0,1257.4808568752721,44.767617894705346,2.1118128592948455,0.5949234773571401
10.0,6.0,1443.37395779219,70.68781160873908,4.429843731838935,0.6348436143715772
9.0,8.0,1370.509277081946,67.07579389212638,5.03728000960604,0.6880289037821133
0.0,0.0,1192.8826135643565,44.95995953598473,2.1237474683537614,0.7160994676949731
0.0,0.0,1249.1188266232089,37.71433456520026,2.0,0.7227001451813453
3.0,3.0,1309.4896608442684,44.611374386080776,2.815603016841153,0.7422533122610815
1.0,1.0,1160.0362772338851,51.485703586437324,2.1472608419083334,0.6803150350580998
3.0,2.0,1237.6396201788132,52.74554916314365,2.7018912031232745,0.656229984808099
2.0,4.0,1251.4505502580184,55.50281968793595,2.8638989911005166,0.737851758964255
0.0,0.0,1207.3079576794926,41.82416367719647,2.0,0.642371415003798
1.0,2.0,1630.9832211218643,47.33519813357017,2.905938355356465,0.634127363289666
7.0,6.0,1371.7079689459297,72.48075250119301,3.8479453648006134,0.6277750492255844
