0,1,2
49.819,0.39056,137.13
236.76,0.22315,201.05
199.24,0.48287,36.274
145.35,0.31833,233.38
117.22,0.55959,171.06
170.98,0.22621,107.13
266.64,0.46637,271.97
79.562,0.13194,74.861
73.856,0.51691,299.73
299.2,0.34751,81.113
188.63,0.36111,194.33
104.93,0.19081,117.53
145.01,0.4338,42.359
228.58,0.10227,260.97
259.79,0.58855,147.7
34.31,0.26002,224.49
29.017,0.57196,86.719
250.08,0.2766,286.0
221.13,0.4152,123.2
133.16,0.12087,180.67
95.36,0.37776,255.83
183.2,0.17416,56.556
287.47,0.53545,219.42
66.279,0.32898,161.96
87.16,0.44389,212.63
278.41,0.15442,133.67
176.42,0.53913,244.9
126.85,0.24667,32.747
157.26,0.50529,95.081
206.69,0.29592,174.04
246.52,0.41108,62.742
55.133,0.20262,274.89
51.407,0.48191,189.66
242.73,0.30367,113.94
211.63,0.3877,294.99
162.0,0.21038,77.454
122.05,0.46739,152.69
171.55,0.14655,228.42
282.27,0.56263,47.291
90.819,0.2388,264.83
62.553,0.35438,40.669
283.68,0.18191,236.71
188.13,0.51207,141.59
100.09,0.33673,204.44
128.36,0.59546,266.7
216.26,0.26873,70.665
253.94,0.4387,165.85
32.676,0.113,103.0
38.103,0.42604,240.23
263.52,0.12565,29.158
67.12252759232116,0.16644837386639974,228.87992121159547
199.02739469928756,0.16787387099674939,38.39024270427808
125.00023497334672,0.169387028860268,109.07173864242138
253.99842164479207,0.2658660713014081,107.38482177257528
127.75020469080222,0.5498989105054533,46.74069822963373
273.23724669811173,0.2637269159301163,212.1414039511666
89.60992966512008,0.6,37.85198692395317
296.4776921737376,0.2621154685079072,201.00717085385864
31.85813967118211,0.48922110321658885,188.92696263381205
300.0,0.25775105063300985,181.72517508327516
145.06460321418362,0.2717871977668314,57.99463261025539
292.6377648678622,0.27411898779025773,175.3245607475235
46.43637799375608,0.4976679837836686,47.11214275327853
287.566803770808,0.26333632413565566,176.2812594039814
289.61624035258586,0.2881852738938776,177.14829723597572
80.84757507242398,0.3162275892467965,181.86222193762669
41.33238616559824,0.44530724859787213,105.87042622835916
286.037866734201,0.2965071248143578,192.7379597634834
50.14269824720784,0.4365470176495536,85.72265202704989
46.603521459794486,0.1,137.64890917773263
149.13501176409545,0.6,57.893227089491276
290.4612758537695,0.3419576956030805,180.05783511102422
46.45324063544275,0.14314583472191633,223.16243686087125
43.39948747398668,0.1002638864543124,153.95998523815192
158.43130882523502,0.30598765804446987,238.1382159858932
49.599880740703924,0.1,170.66236546234006
38.5474837687165,0.1,178.98885514099754
64.01523048947217,0.1271137594655103,192.50573882258112
176.44182928513794,0.1,114.2218458782352
300.0,0.3059648075206759,170.45241591503768
191.22972200971432,0.1,286.2681158613955
47.35054210438814,0.14471222347124474,195.0276192233412
140.47464469266257,0.3961386540958996,235.5682013509165
300.0,0.3051975960770776,173.63450785597473
64.57532122695007,0.4623667059088149,36.55651978702919
300.0,0.30900768825908004,152.75994111764294
300.0,0.30832112923125854,149.99265720229778
163.15682562927933,0.10831387973228827,295.96824187515404
36.400491738593786,0.2250197255551294,118.68087634814373
25.0,0.1,193.76436167348626
183.27346706625772,0.1,61.294324486081415
25.0,0.14739545887623542,160.88330301014037
70.83722282635483,0.10845537818556152,134.45451038522376
300.0,0.31325280993836796,171.0019592758007
297.23776954279657,0.1,95.31462777488757
300.0,0.3204638423401487,189.96025290365728
61.20454851553652,0.1,196.9309412067347
179.41382918316367,0.3164681949946924,254.25605304021653
25.0,0.1,300.0
293.08436791946957,0.6,300.0
139.66721779624294,0.5193138619598093,87.08724423353061
300.0,0.30174439982638623,157.46457367981802
177.91207986303206,0.3717891707984381,210.6532459789519
300.0,0.3023110645118944,159.20806139393488
288.3092422495906,0.1,98.45242985940881
300.0,0.6,25.0
262.73653508555554,0.38815513110847083,149.85096519220852
300.0,0.30458413125418543,168.03812146399028
59.85899718959518,0.1,39.041002449936435
300.0,0.31366063789232573,166.55349869217736
97.45045829404769,0.22839148428689438,293.2477498689467
300.0,0.31575712258373234,168.97473455114135
188.99177113622582,0.43387910280242914,205.29495341705024
300.0,0.3103275947495179,152.45802569710295
257.85043428349843,0.19296156965785327,234.48624492334008
300.0,0.31153220831297773,148.76960551288752
239.7554574258018,0.1,221.87013951495376
25.0,0.1,145.02151108744837
37.176465612613825,0.6,97.91742786451748
300.0,0.33003076776029017,194.6771968114203
235.038217094873,0.3526545151489774,138.77494526737382
300.0,0.30768138692477925,167.72973596073925
77.85558382958571,0.3662244496925491,249.98216625144616
300.0,0.307052234802394,167.26557596297968
264.080491413422,0.101479914347504,241.6045607552024
300.0,0.31182406989112027,174.06800183943872
142.11744328219675,0.1,60.9851991763106
25.0,0.6,164.34349407927562
165.77439804097446,0.6,297.07071886716943
300.0,0.3035762314254766,151.98382302409667
