P,v,t,h,Density,Neg_Roughness,Neg_Time
138.2269263267517,932.0031642913818,0.10531455039978027,0.3877916932106018,0.9437590508174004,-5.778944011693544,-20.282421313382315
89.04482126235962,680.7162761688232,0.10026289939880371,0.3380923986434937,0.9483422507207062,-5.682512327721127,-22.933433837049673
144.0771460533142,306.54873847961426,0.12738392353057862,0.2780738949775696,0.9386381636870682,-5.666143149768859,-27.985376813329516
136.9404435157776,654.1722297668457,0.11964376211166382,0.22882134914398194,0.9527428747250888,-5.5152064042607245,-33.417582230122306
138.54429125785828,659.1235637664795,0.10066320180892945,0.2882347464561463,0.957640067280636,-5.614506871977455,-26.62403766450707
76.96316838264465,553.0908584594727,0.10187683343887328,0.34950564503669745,0.9491063509817249,-5.706114681466615,-22.267202527102985
60.53149104118347,415.5958652496338,0.10435250520706177,0.15980913043022157,0.951174506749075,-5.367452796192541,-46.765912419916646
104.71915602684021,204.9283504486084,0.1280621814727783,0.12257976531982423,0.8983852903277432,-5.394571485786286,-60.8557888296128
138.6013686656952,666.5676593780518,0.10350590944290161,0.342692494392395,0.959817447973392,-5.713186664790861,-22.700387301893798
107.79253840446472,923.1853485107422,0.11218639373779297,0.20269402265548708,0.9559684310524768,-5.438190365458697,-37.34868952061213
113.4341835975647,491.52822494506836,0.11841715097427369,0.38392332196235657,0.9575849035661466,-5.799480475136765,-20.690412878836216
128.90297770500183,425.1309871673584,0.12154529333114625,0.27683893442153934,0.9498925976314843,-5.625621927830271,-27.99810614498735
125.39175152778625,356.19797706604004,0.09020183086395263,0.19204592108726504,0.9318884042977391,-5.4666810151740375,-38.97756968984878
61.64885759353638,928.2155513763428,0.11576062679290772,0.3121320307254791,0.8340680633905208,-5.61710449583697,-24.95217979928824
115.81305861473083,593.0416107177734,0.12565216541290283,0.1434229612350464,0.9411663146611524,-5.359960795658844,-52.25190788118273
103.14818620681763,326.9839286804199,0.11616703987121582,0.19834265708923343,0.9378331774530633,-5.484492668430216,-38.21024482218229
115.32081365585327,516.663408279419,0.12658783674240112,0.1610947132110596,0.9412382689553965,-5.39975355721273,-46.76234657153144
70.18010020256042,361.42640113830566,0.12798885583877564,0.299987667798996,0.9553453345785282,-5.642332455040672,-26.099307416522855
148.11253547668457,269.889497756958,0.09016247749328613,0.13264543414115906,0.8970038334464632,-5.394178269233526,-55.7740231046418
66.36554598808289,762.0160579681396,0.11716151714324952,0.3746386587619782,0.8506860302483213,-5.738441695786826,-21.128345867844395
74.1787314414978,327.3152828216553,0.12061156272888184,0.1893693268299103,0.9457556791974081,-5.449127754071513,-40.00234472704338
130.34619092941284,505.0797462463379,0.12144091844558716,0.1334547996520996,0.9297735767332845,-5.356760645641145,-55.93601276273091
74.76751208305359,721.9505786895752,0.11422815084457398,0.21175618767738344,0.9509476990012592,-5.450562686756744,-35.86432997111042
129.80347275733948,871.9236850738525,0.0954965329170227,0.16991977095603944,0.9520677510422864,-5.383350402394159,-43.93030431013383
145.78309655189514,465.02699851989746,0.10290967226028443,0.10486080646514893,0.9112243134696171,-5.309058204083222,-70.34894154167299
71.36648893356323,699.921464920044,0.10736013650894165,0.1411171019077301,0.9550256957170212,-5.3208655642488205,-52.77354875561209
101.17283463478088,326.7673969268799,0.09303206682205199,0.1674006044864655,0.9310744912280965,-5.415536820855117,-44.54525938557183
56.23939633369446,345.3047752380371,0.12999217748641967,0.27833124399185183,0.9520748659083802,-5.594813938467192,-28.000394864390252
115.40798544883728,226.92627906799316,0.09686452388763428,0.2000716269016266,0.9209553528543887,-5.513642589813425,-37.59597751770018
