sample_id,power,hatch_distance,outline_power,energy_density,temperature,layer_thickness,geometry_length,geometry_width,fused,stability,edge_clarity,label_visibility,surface_uniformity,objective,Young's_modulus,tensile_strength,Elongation,Edge_measurement
61,30.837,0.101,36.483,20.09,128,0.1,40,40,1,,,,,,834.9,12.6,5.6,0.16
62,33.077,0.132,27.251,16.49,128,0.1,40,40,1,,,,,,824.2,11.7,5.8,0.2
63,31.118,0.1,27.853,20.47,128,0.1,40,40,1,,,,,,867.5,12.7,5.8,0.05
64,27.448,0.105,31.37,17.2,128,0.1,40,40,1,,,,,,728.2,11.8,5.7,0.2
66,30.829,0.101,36.473,20.08,128,0.1,40,40,1,,,,,,4.9,12.5,5.9,0.13
68,30.842,0.101,36.47,20.09,128,0.1,40,40,1,,,,,,797.8,12.6,6.2,0.3
69,33.071,0.128,27.247,17,128,0.1,40,40,1,,,,,,672,12,5.7,0.38
71,28.483,0.109,25.951,17.19,128,0.1,40,40,1,,,,,,733.4,12.1,6.3,0.15
73,33.071,0.128,27.254,17,128,0.1,40,40,1,,,,,,577.1,9.4,6,0.54
74,33.061,0.111,25.957,19.6,128,0.1,40,40,1,,,,,,815.3,12.1,5.9,0.09
75,28.48,0.109,25.951,17.19,128,0.1,40,40,1,,,,,,573.5,12.2,5.9,0.09
76,28.477,0.109,25.951,17.19,128,0.1,40,40,1,,,,,,757.6,11.9,6.1,0.42
77,28.482,0.109,25.951,17.19,128,0.1,40,40,1,,,,,,777.6,11.5,5,0.6
78,28.454,0.113,29.011,16.57,128,0.1,40,40,1,,,,,,863.5,12.6,5.9,0.1
79,27.452,0.105,31.375,17.2,128,0.1,40,40,1,,,,,,823.6,12.5,5.4,0.15
80,30.839,0.1,38.684,20.29,128,0.1,40,40,1,,,,,,791.7,12.5,6.2,0.38
