0.090251328,0.58111055,0.407743702,0.990655056,0.956323204,-0.139306275,3.872814884
0.874845888,0.234270643,0.77505315,0.310814644,0.306401029,0.595109792,1.65460521
0.514625622,0.843061981,0.125449971,0.662491989,0.082560599,0.42011841,2.076204303
0.294217184,0.47229629,0.555015292,0.107712657,0.685598713,0.040028272,2.186627018
0.484628095,0.91621436,0.961802086,0.166119083,0.548508601,0.269495516,2.986906672
0.707027809,0.272331606,0.344492878,0.595899227,0.214032887,0.49946095,1.566173492
0.909006181,0.66254091,0.743227971,0.494205792,0.428102895,0.605038748,2.373766116
0.126402942,0.025982372,0.063662887,0.799047046,0.840727927,-0.133917487,2.253180423
0.24456219,0.758278997,0.652777852,0.518591315,0.32250358,0.173851056,2.936640198
0.962721871,0.426331673,0.035468411,0.2139966,0.906956467,0.403104918,1.304882601
0.665032834,0.504147725,0.935072565,0.815443302,0.701121437,0.371609489,3.209524525
0.385998247,0.180501184,0.255507252,0.385909667,0.03853449,0.309219517,1.200492771
0.334251435,0.73559937,0.223712829,0.327624373,0.164872141,0.245570445,1.888443012
0.615216314,0.07584748,0.59102203,0.882159073,0.564771365,0.346475775,2.301888814
0.754725915,0.997092979,0.442285961,0.030726554,0.795992281,0.332689882,2.251829427
0.038496482,0.314391873,0.871851037,0.710322363,0.442992375,0.000314572,3.440982151
0.021555442,0.942775977,0.016472912,0.462256273,0.629735378,-0.127503357,3.019993212
0.802428732,0.368702181,0.665032843,0.767035538,0.10778062,0.640228706,2.098638503
0.566904031,0.696419118,0.298019942,0.134108525,0.253013581,0.369313605,1.578589047
0.350827163,0.115021105,0.883835719,0.56394875,0.978098583,0.022026757,2.920693789
0.74013472,0.136349877,0.723809815,0,0.209229847,0.504547161,1.151484198
0.679433352,0.248647464,0.26302767,0.746641446,0.894946556,0.25450612,2.158082062
1,1,1,1,0.318093785,0.771933747,3.505606661
0,1,1,1,0.762998317,-0.078951243,5.601096485
1,1,1,1,0,0.87909,3.258760691
0.193749008,0.723852305,0.000613292,0.386921059,0.189148019,0.126846873,1.843011284
1,1,1,1,0,0.87909,3.258760691
0.464733705,0.68386942,0.8851361,0.326936984,0.149615252,0.3866642,2.501172911
0,1,1,1,0.780136556,-0.084724602,5.618459749
1,1,1,1,0.318765753,0.771707381,3.506131568
1,1,1,1,0.192848778,0.814125032,3.408018871
1,1,1,1,0.722168021,0.635813259,3.823634729
1,1,1,1,0,0.87909,3.258760691
0.403267541,0.210578294,0.664062697,0.383951737,0.864455972,0.072866077,2.381235742
0.326980935,0.215211772,0.546265406,0.771334905,0.627022485,0.118028923,2.607102029
1,0.947122136,0.724569888,0.908245348,0.419925253,0.709870742,3.089389286
0.19018728,0.723281734,0.698425079,0.009755808,0.191637234,0.14652219,2.259228868
1,1,1,1,0,0.87909,3.258760691
0,1,1,1,0.629809452,-0.03408391,5.46615885
1,1,1,1,0.294678844,0.779821538,3.487324826
0.951320073,0.220303584,0.109389798,0.603628882,0.90862304,0.418709863,1.607207678
1,1,1,1,0,0.87909,3.258760691
0.023485908,0.679322689,0.087390551,0.176283384,0.622496331,-0.148660109,2.355123004
1,1,1,1,0.292378289,0.780596526,3.485529525
0,1,1,1,0.564174511,-0.011973468,5.399662122
0.103249414,0.595490176,0.093639832,0.952805954,0.595700262,-0.03286801,3.052379762
0.462718961,0.757343289,0.342031678,0.335181735,0.339135833,0.28660931,2.091671777
1,1,1,1,0.291004309,0.781059378,3.48445738
1,1,1,1,0,0.87909,3.258760691
0,1,1,1,0.468272212,0.02033314,5.302500626
0.968600281,0.655328552,0.513123111,0.999821776,0.767691936,0.550883893,2.904733037
1,1,1,1,0,0.87909,3.258760691
0.841702183,0.269973812,0.118061283,0.34768577,0.928971466,0.319858039,1.463019729
0,1,1,1,0.742593113,-0.072077342,5.580423361
1,1,1,1,0.295623183,0.779503418,3.488061815
0,1,1,1,0.945597025,-0.14046327,5.786092714
0.422272425,0.443937859,0.41191669,0.465561335,0.63869101,0.159159083,2.245047253
0.299393616,0.145669939,0.25836058,0.879002648,0.954324495,-0.027070728,2.607276513
1,1,1,1,0,0.87909,3.258760691
1,1,1,1,0.298235467,0.778623418,3.490100659
0.796303741,0.129705401,0.630248741,0.092175938,0.591539753,0.41466314,1.382274979
1,1,1,1,0,0.87909,3.258760691
1,1,1,1,0.721329419,0.636095759,3.82297
0.046644634,0.345236349,0.836017908,0.67817488,0.277811825,0.058120781,3.203092736
1,1,1,1,0.192326291,0.814301042,3.407612809
1,1,1,1,0.294317974,0.779943104,3.4870432
0.841214951,0.661251621,0.734990271,0.16606118,0.833682746,0.397587882,2.336244577
0,1,1,1,0.563668651,-0.011803058,5.39914962
1,1,1,1,0,0.87909,3.258760691
0.038617653,0.020702676,0.340858543,0.873945136,0.119754774,0.071889789,2.241055355
0.482203775,0.618693862,0.38382265,0.272399898,0.847441983,0.122280251,2.296865213
1,1,1,1,0,0.87909,3.258760691
1,1,1,1,0.720970803,0.636216566,3.822685744
0.459889152,0.146796735,0.915507752,0.508566267,0.964090825,0.102828658,2.795594759
1,1,1,1,0.192175254,0.814351922,3.407495429
1,1,1,1,0.612065943,0.672903346,3.736522125
0,1,1,1,1,-0.15879,5.84121
0.355579052,0.999066324,0.472188353,0.180176778,0.254202925,0.247901919,2.384441367
1,1,1,1,0.175738754,0.819888886,3.394726092
1,1,1,1,0,0.87909,3.258760691
0,1,1,1,0.565669456,-0.01247707,5.401176696
1,1,1,1,0.296225392,0.779300552,3.48853181
1,1,1,1,0,0.87909,3.258760691
0.874505758,0.930289226,0.752912947,0.333590776,0.638522803,0.509899693,2.688078289
0.777370575,0.292092616,0.303796605,0.336158675,0.27289913,0.50889677,1.250049087
1,1,1,1,0.177115325,0.819425161,3.395795197
0.259045359,0.175674357,0.698840294,0.062091598,0.363136654,0.119504923,1.713770177
1,1,1,1,0,0.87909,3.258760691
1,1,1,1,0.617803281,0.670970609,3.741053369
0,1,1,1,1,-0.15879,5.84121
0.966275013,0.144578712,0.778238324,0.809600999,0.946682193,0.474730537,2.548182941
1,1,1,1,0,0.87909,3.258760691
0.042942958,0.134483626,0.289150448,0.268790669,0.152811131,0.022734886,1.5262358
1,1,1,1,0.716961917,0.637567039,3.819508342
1,1,1,1,0.191382064,0.814619124,3.406879007
0.280758941,0.472100911,0.429104724,0.800531959,0.050988272,0.283376656,2.374228578
1,1,1,1,0.609619683,0.673727418,3.734590389
1,1,1,1,0.174656084,0.820253605,3.393885287
0,1,1,1,1,-0.15879,5.84121
1,1,1,1,0,0.87909,3.258760691
