0,1,2,3,4
0.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
0.5167615925894342,0.38477626349777244,0.2716705445197548,0.47129493299866293,0.23180068097995857
0.9632021440194212,0.4744980400428202,0.8784424606708562,0.2955766860395131,0.03979016002253458
1.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,1.0
1.0,0.26728852820986154,1.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,1.0
0.12553563845056062,1.0,0.4463573858740886,1.0,1.0
0.3081343155712988,1.0,1.0,1.0,0.4838475328300951
0.0,0.9579808743645906,1.0,0.6195332875952176,0.9822650431249772
0.6334605421067725,1.0,1.0,0.6023643008521592,0.923419824440113
0.0,0.2342882136443827,1.0,1.0,1.0
0.42730311262033954,1.0,1.0,0.505089680084925,1.0
0.0,0.7868356341321094,0.728127852205212,1.0,1.0
0.0,0.9728498386857507,1.0,1.0,0.5032606137356181
0.0851602060605414,0.4361908709519426,1.0,1.0,0.7394701059655882
0.2810175386868309,1.0,0.37999722255231916,1.0,1.0
0.824651032362867,0.8830083604841302,1.0,1.0,1.0
0.0,1.0,0.40504109707135755,0.8995256270083304,1.0
0.0,0.9474692326210225,1.0,1.0,1.0
0.0,0.6199941445544042,1.0,0.517858255640038,1.0
0.0,1.0,1.0,1.0,0.140622983309784
0.0,0.5470717411301712,1.0,0.46049170500649195,1.0
0.8243630803168401,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
0.08630158893128133,0.929387426304717,1.0,1.0,0.37452938642211203
0.0,1.0,0.2585872110881259,1.0,1.0
0.0,0.3553741784179713,0.6753636761952291,1.0,1.0
0.24697381211484995,1.0,1.0,1.0,0.22115243219226227
0.0,1.0,1.0,1.0,1.0
0.7057614482774718,1.0,1.0,1.0,1.0
0.0,1.0,1.0,0.1951608537981974,1.0
0.5209509146056163,1.0,0.4855810807536107,1.0,1.0
0.0,0.2272356447300381,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
0.03074241669689753,1.0,1.0,1.0,0.34467713763330315
0.0,1.0,1.0,0.20858469772984212,1.0
0.0,1.0,0.297365051910309,1.0,1.0
0.796763097459358,1.0,1.0,1.0,0.555994479948193
0.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,0.3360699189873422,1.0
0.0,0.18471774359610466,1.0,1.0,1.0
0.0,0.2992163954685073,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
0.0,1.0,0.3628128140682873,1.0,1.0
0.0,1.0,1.0,0.3937439554143545,0.5381177624748039
0.9333416244480306,1.0,1.0,1.0,1.0
0.8731527841438722,1.0,1.0,1.0,1.0
0.0,1.0,1.0,0.5008411193518323,0.3048286445570913
0.0,1.0,1.0,1.0,1.0
0.0,1.0,0.3084000733424565,1.0,1.0
0.0,0.16183384742236445,1.0,1.0,1.0
0.0,1.0,0.2727808237873708,1.0,1.0
0.0,1.0,1.0,1.0,0.15602567132861153
0.0,1.0,1.0,1.0,1.0
0.5961089152495451,0.49197209280969184,1.0,1.0,1.0
0.0,1.0,1.0,0.16949054396233118,1.0
0.0,1.0,1.0,0.0,1.0
0.0,0.04634872550006387,0.939313847333337,1.0,0.0071470137169909916
1.0,1.0,0.01800807338971208,1.0,1.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.26527761142499795,0.4232793095036073,1.0
0.0,1.0,0.40433515667026404,0.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.038843569239580954
1.0,0.9654389952576946,0.12969404475499305,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,1.0
0.0,0.07103036010183036,1.0,0.0,0.15442376561113777
0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.3625403189297509,1.0,0.0
0.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,0.008080479610934579,1.0
1.0,0.0,1.0,1.0,1.0
0.0,0.3166447348324295,1.0,0.034977207622725166,0.0
0.0,0.0,1.0,0.15143737912715916,1.0
1.0,0.0,1.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,0.14923258024500224,0.0
0.0,0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0
1.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.3348906280591154,1.0,1.0
1.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,0.0
