hyper_volume,gd,igd,spacing,cardinality,batch_size,mini_batch_size,test_iter,n_iter,n_init_samples,method
5.055292039487951,1.529470323846334,1.4823002424393636,0.35851861187217104,3.4,10,5,10,20,0,cold start
11.072298620183151,0.2495005794354906,0.40940606573822425,0.11173287029191574,3.6,10,5,10,20,0,cold start
15.199389248132922,0.6584226898485909,0.7792088673534163,0.3056438758982659,4.0,10,5,10,20,0,cold start
15.514284726732132,0.6796538141888411,0.7332466590642274,0.25637510837157373,6.4,10,5,10,20,0,cold start
15.732838776034523,0.6936659078433056,0.7119903138580337,0.40644712377114434,7.9,10,5,10,20,0,cold start
15.836863977274115,0.6988205655674474,0.6551290508064613,0.2906500761720229,9.5,10,5,10,20,0,cold start
15.903017870185966,0.707656995389285,0.6460522333841757,0.18163879865021182,11.1,10,5,10,20,0,cold start
15.947270469145655,0.712326358819855,0.6314915036009277,0.16931607510047378,11.7,10,5,10,20,0,cold start
15.965501320191317,0.727731323904242,0.6347186983472188,0.14439519892239247,12.9,10,5,10,20,0,cold start
15.978348418950521,0.7336047691162877,0.6294878296598304,0.10066429188898254,13.7,10,5,10,20,0,cold start
15.98619967642195,0.7383322157176516,0.6289913768365192,0.09670867295261729,14.7,10,5,10,20,0,cold start
15.994058159506272,0.7481263861680159,0.6321712912693259,0.09376084154520539,15.5,10,5,10,20,0,cold start
16.00002424719133,0.7585879556277073,0.6357633162714176,0.09254491163736608,15.8,10,5,10,20,0,cold start
16.018205512577392,0.7604384808747813,0.646236901308237,0.12321453325000027,16.6,10,5,10,20,0,cold start
16.022769882533886,0.7531873415674877,0.6451271908943719,0.12242925056554851,17.1,10,5,10,20,0,cold start
16.025652513466248,0.7561103187955887,0.6467537901801123,0.12310000576350237,17.4,10,5,10,20,0,cold start
16.031851110818955,0.7502512527563451,0.6432631299640696,0.1276249853176699,17.8,10,5,10,20,0,cold start
16.04587284089841,0.7502436913978655,0.6432631299640696,0.12115572991154577,18.2,10,5,10,20,0,cold start
16.07224491116836,0.7523996369313648,0.6490170444783844,0.11759602143416059,18.7,10,5,10,20,0,cold start
16.088883819806547,0.7559141601938939,0.6551816182769253,0.1024025100093344,19.0,10,5,10,20,0,cold start
