hyper_volume,gd,igd,spacing,cardinality
2.954192578184002,0.30036999086038013,0.4088642764989441,0.3069981774452506,4.9
3.507573809737778,0.2565202921698274,0.38070238584295113,0.28643915907482626,5.6
3.757688703399988,0.24157538631581513,0.3550636503504746,0.3883206401703371,5.5
4.227339277290235,0.22082656745735627,0.3156201273808842,0.37695398995690177,6.3
4.555881532192286,0.24656993123046161,0.2930579487923878,0.3362550960938059,7.6
4.891794654448008,0.27151450732378185,0.2746676285525571,0.3130084545211148,8.4
5.208477776327827,0.2814723886792777,0.2797275491066012,0.30253014451661986,8.9
5.571540811263228,0.2802097473026094,0.26009080229379966,0.22008326268065104,10.5
5.768473647106356,0.2955260715740532,0.2571528918403012,0.20031140280220433,11.1
5.949082512187506,0.3087481105057365,0.25179090944980237,0.18475850309435388,12.0
6.044561153161055,0.3030222640488371,0.24742796061465372,0.16536484755577746,13.7
6.246855613105863,0.31707157078919573,0.24442080539880714,0.1575825244626692,13.3
6.3053780595351325,0.3180966202228732,0.24020275358287413,0.15059839811503162,14.2
6.357723926578839,0.32059395625483816,0.2414690973887621,0.13864114106089617,14.2
6.392835373185119,0.31573182212573475,0.23654404508399923,0.11945549079817122,15.5
6.43251828968201,0.32067706938767165,0.23727608649684234,0.1076180663671646,16.6
6.453817175581324,0.322518701226404,0.23031231482739184,0.10505087947254628,17.7
6.533024862414803,0.32777121351521343,0.2313309755259775,0.10846014526292576,18.5
6.564986206118844,0.32477769796946643,0.22437835746001955,0.11454237670688375,18.8
6.590512073214912,0.327660978871985,0.2304786647524502,0.1197457359515878,18.9
