hyper_volume,gd,igd,spacing,cardinality
3.783677808663969,0.48943471220843504,0.5673328073232712,0.4304148554822202,5.2
3.9194196484309507,0.48776235696116804,0.5429195662507466,0.26350093965987476,6.7
3.999571893181694,0.46509541667193083,0.45568051100093243,0.2706975379717302,8.2
4.022649670512255,0.4345912712076617,0.45712725520187353,0.26375112553072755,8.9
4.0642424256772625,0.43961294704195175,0.45618289949190005,0.21433900057982108,10.0
4.089354727785579,0.4783896968709097,0.46350658575531456,0.21686750922860445,10.2
4.099665739947116,0.46466144890798694,0.46376849629181044,0.21755011076899172,10.6
4.125230516777826,0.47202848077151727,0.5075972757745895,0.1864310844523186,10.4
4.140621438571861,0.47352852511739824,0.5083566004931568,0.16354258965274202,10.9
4.145866296286107,0.46267075470269925,0.5102097400198465,0.17395595271039846,11.2
4.148965723582217,0.46683543326579136,0.510197499673613,0.17297602573555726,11.7
4.1764615581883175,0.4801357494290962,0.549557869889105,0.1385620246972553,11.8
4.185483461081503,0.4854897424163651,0.5494454447317576,0.12873283150722067,12.2
4.189268041967173,0.4947267684135169,0.549244633197086,0.15452065459166484,12.4
4.19206854068002,0.49012881375484313,0.5485264127390016,0.12433150325428248,12.8
4.201903428428993,0.4785619944059258,0.5104934513362707,0.1639721116540736,12.7
4.202889329571536,0.471382664684952,0.5091298741369216,0.16181599957315415,13.1
4.226896470687812,0.4954167130378632,0.5115600117892064,0.15973334238858766,13.4
4.232331431362651,0.4895190149576621,0.5088028252551335,0.1596781535833625,13.6
4.2397690901752725,0.48111862664066474,0.5083067537108266,0.13110155488414668,14.7
