0,1,2,3,4,5,6,7,8,9
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.09025132842361927,0.5811105500906706,0.40774370171129704,0.9906550562009215
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.7008837582543492,0.26316697522997856,0.9976486675441265,0.39304536674171686
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.9893902279436588,0.9581762468442321,0.17333463486284018,0.5922060403972864
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.3486178917810321,0.13608228135854006,0.731867522932589,0.057126905769109726
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.4477485455572605,0.7964629363268614,0.8410226441919804,0.14876144658774137
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.8394783837720752,0.11123267933726311,0.25111779756844044,0.7463410021737218
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.5968893487006426,0.6657160734757781,0.5759743535891175,0.2971875425428152
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.23721442837268114,0.49196042586117983,0.0174415847286582,0.8322976380586624
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.14004882145673037,0.9049866730347276,0.530749305151403,0.6297518275678158
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.529992425814271,0.18823939096182585,0.06584433559328318,0.21951893903315067
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.6024442049917524,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.5676182661407928,1.0,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.8290596988657143,1.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.0,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.7489385620207463,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.446482686106764,1.0,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.5466012517145467,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.7103645046625529,1.0,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.0,0.15942797429179448
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.5407938255301761,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.6871941273927724,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.8946359389188575,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.0,1.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.0,0.13025311093182196
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.8828738831379991,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.0,0.6818910017083715
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.676079078759047,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.9648428402567448,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.439449488774379,0.0,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,1.0,1.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.0,0.842778293196219
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,1.0,1.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.7895189812334646,1.0,0.0,0.053613076047272695
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.4390986403801822,1.0,0.7265002327549075,0.38053283929710413
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.31434608661414937,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.7885990656461564,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.4487867465758053,0.45437350847412944,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.8668493491575386,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.258552513790606,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.6872897779395504,0.7638178126662203,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.31440599922035073,1.0
