hyper_volume,gd,igd,spacing,cardinality,batch_size,mini_batch_size,test_iter,n_iter,n_init_samples,method
3.783677809,0.489434712,0.567332807,0.430414855,5.2,10,5,10,20,20,embedding
3.919419648,0.487762357,0.542919566,0.26350094,6.7,10,5,10,20,20,embedding
3.999571893,0.465095417,0.455680511,0.270697538,8.2,10,5,10,20,20,embedding
4.022649671,0.434591271,0.457127255,0.263751126,8.9,10,5,10,20,20,embedding
4.064242426,0.439612947,0.456182899,0.214339001,10,10,5,10,20,20,embedding
4.089354728,0.478389697,0.463506586,0.216867509,10.2,10,5,10,20,20,embedding
4.09966574,0.464661449,0.463768496,0.217550111,10.6,10,5,10,20,20,embedding
4.125230517,0.472028481,0.507597276,0.186431084,10.4,10,5,10,20,20,embedding
4.140621439,0.473528525,0.5083566,0.16354259,10.9,10,5,10,20,20,embedding
4.145866296,0.462670755,0.51020974,0.173955953,11.2,10,5,10,20,20,embedding
4.148965724,0.466835433,0.5101975,0.172976026,11.7,10,5,10,20,20,embedding
4.176461558,0.480135749,0.54955787,0.138562025,11.8,10,5,10,20,20,embedding
4.185483461,0.485489742,0.549445445,0.128732832,12.2,10,5,10,20,20,embedding
4.189268042,0.494726768,0.549244633,0.154520655,12.4,10,5,10,20,20,embedding
4.192068541,0.490128814,0.548526413,0.124331503,12.8,10,5,10,20,20,embedding
4.201903428,0.478561994,0.510493451,0.163972112,12.7,10,5,10,20,20,embedding
4.20288933,0.471382665,0.509129874,0.161816,13.1,10,5,10,20,20,embedding
4.226896471,0.495416713,0.511560012,0.159733342,13.4,10,5,10,20,20,embedding
4.232331431,0.489519015,0.508802825,0.159678154,13.6,10,5,10,20,20,embedding
4.23976909,0.481118627,0.508306754,0.131101555,14.7,10,5,10,20,20,embedding
