power,hatch_distance,outline_power
281.8,0.1,55.47
236.6,0.21,188.78
146.61,0.59,135.28
245.87,0.6,148.6
213.12,0.1,269.46
281.83,0.6,165.72
66.66,0.6,77.06
281.27,0.6,147.33
198.1,0.1,241.98
104.83,0.1,79.92
176.29,0.19,214.1
238.7,0.31,289.59
165.61,0.6,151.23
284.01,0.6,153.69
37.4,0.42,217.05
128.55,0.59,226.0
240.11,0.6,25.73
155.46,0.6,212.7
283.11,0.46,262.49
285.26,0.34,47.01
254.71,0.6,73.04
300.0,0.6,147.25
284.69,0.12,176.61
32.49,0.51,91.69
