power,hatch_distance,outline_power
208.45,0.41,173.0
218.28,0.31,114.58
244.8,0.45,243.29
247.5,0.44,206.36
233.55,0.38,292.04
115.25,0.22,167.47
162.42,0.59,145.49
275.4,0.6,151.0
290.36,0.53,254.09
238.84,0.19,149.98
114.91,0.1,186.2
227.4,0.5,202.97
278.3,0.6,154.98
161.86,0.1,78.75
57.58,0.6,198.77
31.49,0.5,222.73
232.14,0.32,44.9
44.23,0.6,80.67
245.92,0.54,195.31
266.8,0.1,187.75
170.02,0.19,251.88
281.77,0.6,141.68
246.04,0.6,150.59
