hyper_volume,gd,igd,spacing,cardinality
2.9383664129045535,0.3413824159171186,0.30219473421873316,0.3581633577502092,9.0
3.718878373305023,0.32261191761224267,0.28879049301651555,0.24094906884560782,9.0
3.8088064800895314,0.3939634457014333,0.28879049301651555,0.15068824294677904,13.0
4.115872667717305,0.3896820965655754,0.39356229567730355,0.11100484317694631,13.0
4.225397863745509,0.4202644217402277,0.402470402871144,0.09408498371638789,14.0
4.370157406170499,0.42019495705803006,0.38748576311326965,0.08727080893899045,15.0
6.2851899514628595,0.40638873659247426,0.30523517331246264,0.08956913372355511,17.0
6.6691016578732505,0.3844329845328838,0.2832708242410263,0.08243390899076386,19.0
6.717146845101373,0.3317067510747231,0.26074714569420304,0.07049741869555604,19.0
6.758188530714663,0.35498621869590397,0.29080459518023005,0.07781627003476474,18.0
