hyper_volume,gd,igd,spacing,cardinality
0.24914087018207517,0.4469067455723976,0.43946045871337747,0.21062091486189394,4
0.2848834719459347,0.4098369351200289,0.4023906482610088,0.21417678915707913,4
0.4844800285713481,0.3796074630576572,0.32729206224889246,0.13615176439676416,5
0.5539861283969554,0.24545046292286524,0.2725009907476135,0.037659812104674215,3
0.775448729662741,0.2303514205650975,0.3063965316211177,0.0,2
0.775448729662741,0.2303514205650975,0.3063965316211177,0.0,2
0.8022515277486014,0.12757374312079664,0.11949305896887703,0.3136591347747414,3
0.8022515277486014,0.12757374312079664,0.11949305896887703,0.3136591347747414,3
0.8280193684152842,0.07587459146922686,0.07587459146922686,0.18846517011779443,4
0.8280193684152842,0.07587459146922686,0.07587459146922686,0.18846517011779443,4
0.8280193684152842,0.07587459146922686,0.07587459146922686,0.18846517011779443,4
0.8280193684152842,0.07587459146922686,0.07587459146922686,0.18846517011779443,4
0.8566598124811432,0.05776643455077637,0.21851409517370665,0.05918983352971433,3
0.8566598124811432,0.05776643455077637,0.21851409517370665,0.05918983352971433,3
0.8566598124811432,0.05776643455077637,0.21851409517370665,0.05918983352971433,3
